id,status,bounty_claim_id,person_id,delivery_message
1,Approved,4,4,Kindly review this final version
2,Rejected,8,10,New version uploaded as per feedback
3,Approved,3,6,"Documentation finalized, awaiting approval"
4,New,9,5,Please find the attached documentation
5,Cancelled,10,9,Initial submission for review
6,New,6,2,Addressing all comments from the review
7,New,7,8,"Documentation finalized, awaiting approval"
8,Cancelled,1,3,This submission includes the final adjustments
9,Approved,2,1,"Documentation finalized, awaiting approval"
10,Cancelled,5,7,Updating the API per new guidelines
